YEAR,MONTH,STATE,TOTAL_FLIGHTS
2013,1,Alabama,2099
2013,1,Alaska,1449
2013,1,Arizona,9119
2013,1,Arkansas,1924
2013,1,California,34492
2013,1,Colorado,11155
2013,1,Connecticut,1309
2013,1,Florida,26672
2013,1,Georgia,13614
2013,1,Hawaii,4826
2013,1,Idaho,1236
2013,1,Illinois,18070
2013,1,Indiana,2971
2013,1,Iowa,1808
2013,1,Kansas,916
2013,1,Kentucky,3908
2013,1,Louisiana,3622
2013,1,Maine,455
2013,1,Maryland,4991
2013,1,Massachusetts,5550
2013,1,Michigan,8568
2013,1,Minnesota,7004
2013,1,Mississippi,840
2013,1,Missouri,6728
2013,1,Montana,1136
2013,1,Nebraska,1672
2013,1,Nevada,7104
2013,1,New Hampshire,640
2013,1,New Jersey,5977
2013,1,New Mexico,1505
2013,1,New York,14966
2013,1,North Carolina,11038
2013,1,North Dakota,1448
2013,1,Ohio,5409
2013,1,Oklahoma,2434
2013,1,Oregon,2700
2013,1,Pennsylvania,7551
2013,1,Rhode Island,899
2013,1,South Carolina,2207
2013,1,South Dakota,852
2013,1,Tennessee,6480
2013,1,Texas,28027
2013,1,Utah,4852
2013,1,Vermont,350
2013,1,Virginia,10812
2013,1,Washington,5084
2013,1,West Virginia,199
2013,1,Wisconsin,4557
2013,1,Wyoming,845
2013,2,Alabama,1911
2013,2,Alaska,1306
2013,2,Arizona,8386
2013,2,Arkansas,1793
2013,2,California,31333
2013,2,Colorado,10503
2013,2,Connecticut,1240
2013,2,Florida,25336
2013,2,Georgia,12443
2013,2,Hawaii,4328
2013,2,Idaho,1123
2013,2,Illinois,16716
2013,2,Indiana,2733
2013,2,Iowa,1674
2013,2,Kansas,843
2013,2,Kentucky,3567
2013,2,Louisiana,3453
2013,2,Maine,419
2013,2,Maryland,4672
2013,2,Massachusetts,5187
2013,2,Michigan,7687
2013,2,Minnesota,6386
2013,2,Mississippi,774
2013,2,Missouri,6137
2013,2,Montana,1054
2013,2,Nebraska,1521
2013,2,Nevada,6493
2013,2,New Hampshire,613
2013,2,New Jersey,5529
2013,2,New Mexico,1438
