dest_state_nm_1,CANCELLED
Alabama,Weather
Alaska,Weather
Arizona,Carrier
Arkansas,Weather
California,Carrier
Colorado,Weather
Connecticut,Weather
Delaware,Carrier
Florida,Weather
Georgia,Carrier
Hawaii,Carrier
Idaho,Weather
Illinois,Weather
Indiana,Weather
Iowa,Weather
Kansas,Weather
Kentucky,Carrier
Louisiana,Weather
Maine,Weather
Maryland,Weather
Massachusetts,Weather
Michigan,Weather
Minnesota,Weather
Mississippi,Weather
Missouri,Weather
Montana,Weather
Nebraska,Weather
Nevada,Carrier
NewHampshire,Weather
NewJersey,National Air System
NewMexico,Weather
NewYork,Weather
NorthCarolina,Carrier
NorthDakota,Weather
Ohio,National Air System
Oklahoma,Weather
Oregon,Weather
Pennsylvania,Carrier
RhodeIsland,Weather
SouthCarolina,National Air System
SouthDakota,Weather
Tennessee,Weather
Texas,Weather
Utah,Weather
Vermont,National Air System
Virginia,Weather
Washington,Weather
WestVirginia,Weather
Wisconsin,Weather
Wyoming,Weather
