YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Alabama,Colorado, 20
2014,Alabama,Colorado, 22
2016,Alabama,Colorado, 16
2013,Alabama,Florida, 11
2014,Alabama,Florida, 33
2015,Alabama,Florida, 16
2016,Alabama,Florida, 12
2017,Alabama,Florida, 23
2013,Alabama,Georgia, 154
2014,Alabama,Georgia, 173
2015,Alabama,Georgia, 139
2016,Alabama,Georgia, 142
2017,Alabama,Georgia, 167
2013,Alabama,Illinois, 115
2014,Alabama,Illinois, 169
2016,Alabama,Illinois, 115
2017,Alabama,Illinois, 101
2013,Alabama,Maryland, 8
2014,Alabama,Maryland, 18
2016,Alabama,Maryland, 12
2017,Alabama,Maryland, 13
2013,Alabama,Michigan, 64
2014,Alabama,Michigan, 38
2016,Alabama,Michigan, 36
2017,Alabama,Michigan, 38
2014,Alabama,Minnesota, 18
2013,Alabama,Missouri, 2
2014,Alabama,Missouri, 2
2014,Alabama,Nevada, 5
2016,Alabama,Nevada, 4
2017,Alabama,Nevada, 6
2013,Alabama,North Carolina, 43
2013,Alabama,Texas, 148
2014,Alabama,Texas, 206
2015,Alabama,Texas, 158
2016,Alabama,Texas, 134
2017,Alabama,Texas, 173
2013,Alaska,Alaska, 84
2014,Alaska,Alaska, 73
2015,Alaska,Alaska, 76
2016,Alaska,Alaska, 74
2017,Alaska,Alaska, 112
2013,Alaska,Arizona, 7
2014,Alaska,Arizona, 5
2015,Alaska,Arizona, 5
2016,Alaska,Arizona, 4
2013,Alaska,California, 7
2014,Alaska,California, 7
2016,Alaska,California, 2
2017,Alaska,California, 4
2013,Alaska,Colorado, 5
2014,Alaska,Colorado, 3
2016,Alaska,Colorado, 8
2013,Alaska,Illinois, 2
2014,Alaska,Illinois, 12
2016,Alaska,Illinois, 2
2017,Alaska,Illinois, 3
2013,Alaska,Minnesota, 3
2014,Alaska,Minnesota, 2
2014,Alaska,Oregon, 2
2015,Alaska,Oregon, 3
2016,Alaska,Oregon, 3
2017,Alaska,Oregon, 6
2013,Alaska,Texas, 3
2015,Alaska,Texas, 6
2016,Alaska,Texas, 2
2017,Alaska,Texas, 2
2013,Alaska,Washington, 72
2014,Alaska,Washington, 50
2016,Alaska,Washington, 47
2017,Alaska,Washington, 57
2015,Arizona,Alaska, 7
2013,Arizona,Arizona, 129
2014,Arizona,Arizona, 102
2015,Arizona,Arizona, 78
2016,Arizona,Arizona, 31
2017,Arizona,Arizona, 28
2013,Arizona,Arkansas, 3
2013,Arizona,California, 449
2014,Arizona,California, 451
2016,Arizona,California, 402
2017,Arizona,California, 362
2013,Arizona,Colorado, 154
2014,Arizona,Colorado, 146
