YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Alabama,Colorado, 290
2014,Alabama,Colorado, 329
2016,Alabama,Colorado, 248
2017,Alabama,Colorado, 237
2013,Alabama,Florida, 477
2014,Alabama,Florida, 557
2015,Alabama,Florida, 441
2016,Alabama,Florida, 319
2017,Alabama,Florida, 341
2013,Alabama,Georgia, 3261
2014,Alabama,Georgia, 3076
2015,Alabama,Georgia, 2998
2016,Alabama,Georgia, 2936
2017,Alabama,Georgia, 2948
2013,Alabama,Illinois, 1098
2014,Alabama,Illinois, 1179
2016,Alabama,Illinois, 1003
2017,Alabama,Illinois, 990
2013,Alabama,Louisiana, 95
2013,Alabama,Maryland, 467
2014,Alabama,Maryland, 478
2016,Alabama,Maryland, 393
2017,Alabama,Maryland, 361
2013,Alabama,Michigan, 469
2014,Alabama,Michigan, 397
2016,Alabama,Michigan, 420
2017,Alabama,Michigan, 354
2014,Alabama,Minnesota, 66
2013,Alabama,Missouri, 161
2014,Alabama,Missouri, 113
2013,Alabama,Nevada, 156
2014,Alabama,Nevada, 158
2015,Alabama,Nevada, 132
2016,Alabama,Nevada, 126
2017,Alabama,Nevada, 160
2013,Alabama,North Carolina, 598
2013,Alabama,Texas, 1987
2014,Alabama,Texas, 2067
2015,Alabama,Texas, 1685
2016,Alabama,Texas, 1464
2017,Alabama,Texas, 1488
2013,Alaska,Alaska, 877
2014,Alaska,Alaska, 695
2015,Alaska,Alaska, 687
2016,Alaska,Alaska, 404
2017,Alaska,Alaska, 659
2013,Alaska,Arizona, 155
2014,Alaska,Arizona, 156
2015,Alaska,Arizona, 149
2016,Alaska,Arizona, 129
2017,Alaska,Arizona, 120
2013,Alaska,California, 162
2014,Alaska,California, 160
2016,Alaska,California, 120
2017,Alaska,California, 127
2013,Alaska,Colorado, 267
2014,Alaska,Colorado, 257
2016,Alaska,Colorado, 218
2017,Alaska,Colorado, 212
2013,Alaska,Georgia, 32
2014,Alaska,Georgia, 26
2015,Alaska,Georgia, 32
2016,Alaska,Georgia, 33
2017,Alaska,Georgia, 29
2013,Alaska,Hawaii, 90
2014,Alaska,Hawaii, 73
2015,Alaska,Hawaii, 52
2016,Alaska,Hawaii, 61
2017,Alaska,Hawaii, 66
2013,Alaska,Illinois, 278
2014,Alaska,Illinois, 304
2016,Alaska,Illinois, 267
2017,Alaska,Illinois, 232
2013,Alaska,Minnesota, 270
2014,Alaska,Minnesota, 286
2016,Alaska,Minnesota, 286
2017,Alaska,Minnesota, 239
2013,Alaska,Nevada, 4
2014,Alaska,Nevada, 9
2015,Alaska,Nevada, 9
2016,Alaska,Nevada, 9
2017,Alaska,Nevada, 10
2013,Alaska,New Jersey, 5
2014,Alaska,New Jersey, 8
2016,Alaska,New Jersey, 3
2017,Alaska,New Jersey, 2
2013,Alaska,Oregon, 201
2014,Alaska,Oregon, 207
