YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Alabama,Colorado,1162
2013,Alabama,Florida,2979
2013,Alabama,Georgia,16646
2013,Alabama,Illinois,3817
2013,Alabama,Louisiana,543
2013,Alabama,Maryland,1934
2013,Alabama,Michigan,3110
2013,Alabama,Minnesota,3
2013,Alabama,Missouri,716
2013,Alabama,Nevada,728
2013,Alabama,New York,298
2013,Alabama,North Carolina,2836
2013,Alabama,Texas,8691
2013,Alaska,Alaska,7364
2013,Alaska,Arizona,784
2013,Alaska,California,1155
2013,Alaska,Colorado,1352
2013,Alaska,Georgia,134
2013,Alaska,Hawaii,759
2013,Alaska,Illinois,1296
2013,Alaska,Minnesota,1779
2013,Alaska,Nevada,12
2013,Alaska,New Jersey,16
2013,Alaska,Oregon,1978
2013,Alaska,Texas,410
2013,Alaska,Utah,663
2013,Alaska,Washington,15519
2013,Arizona,Alaska,784
2013,Arizona,Arizona,7343
2013,Arizona,Arkansas,728
2013,Arizona,California,68089
2013,Arizona,Colorado,20181
2013,Arizona,Florida,4875
2013,Arizona,Georgia,8632
2013,Arizona,Hawaii,3519
2013,Arizona,Idaho,2453
2013,Arizona,Illinois,12012
2013,Arizona,Indiana,2885
2013,Arizona,Iowa,1474
2013,Arizona,Kentucky,491
2013,Arizona,Louisiana,732
2013,Arizona,Maryland,3433
2013,Arizona,Massachusetts,2883
2013,Arizona,Michigan,5992
2013,Arizona,Minnesota,8560
2013,Arizona,Missouri,6585
2013,Arizona,Nebraska,2980
2013,Arizona,Nevada,17265
2013,Arizona,New Jersey,5443
2013,Arizona,New Mexico,4492
2013,Arizona,New York,4598
2013,Arizona,North Carolina,6391
2013,Arizona,Ohio,1755
2013,Arizona,Oklahoma,2077
2013,Arizona,Oregon,7134
2013,Arizona,Pennsylvania,6540
2013,Arizona,Tennessee,1816
2013,Arizona,Texas,26529
2013,Arizona,Utah,13121
2013,Arizona,Virginia,2501
2013,Arizona,Washington,11565
2013,Arizona,Wisconsin,3106
2013,Arkansas,Arizona,728
2013,Arkansas,Arkansas,1
2013,Arkansas,Colorado,2423
2013,Arkansas,Florida,116
2013,Arkansas,Georgia,8072
2013,Arkansas,Illinois,9364
2013,Arkansas,Maryland,730
2013,Arkansas,Michigan,927
2013,Arkansas,Missouri,310
2013,Arkansas,Nevada,730
2013,Arkansas,North Carolina,985
2013,Arkansas,Texas,14601
2013,California,Alaska,1155
2013,California,Arizona,68089
2013,California,California,64258
2013,California,Colorado,45898
2013,California,Connecticut,254
2013,California,Florida,10777
2013,California,Georgia,17240
2013,California,Hawaii,20841
2013,California,Idaho,3698
2013,California,Illinois,32530
2013,California,Indiana,704
2013,California,Kansas,486
2013,California,Kentucky,1760
2013,California,Louisiana,3170
2013,California,Maryland,2952
2013,California,Massachusetts,12746
2013,California,Michigan,6069
2013,California,Minnesota,9949
2013,California,Missouri,4832
2013,California,Montana,361
2013,California,Nebraska,3
