YEAR,MONTH,STATE,TOTAL_CANCELLED
2013,1,Alabama,15
2013,1,Alaska,12
2013,1,Arizona,48
2013,1,Arkansas,15
2013,1,California,144
2013,1,Colorado,153
2013,1,Connecticut,24
2013,1,Florida,30
2013,1,Georgia,301
2013,1,Hawaii,49
2013,1,Idaho,10
2013,1,Illinois,604
2013,1,Indiana,23
2013,1,Iowa,29
2013,1,Kansas,15
2013,1,Kentucky,78
2013,1,Louisiana,27
2013,1,Maine,10
2013,1,Maryland,53
2013,1,Massachusetts,83
2013,1,Michigan,236
2013,1,Minnesota,211
2013,1,Mississippi,14
2013,1,Missouri,53
2013,1,Montana,5
2013,1,Nebraska,33
2013,1,Nevada,44
2013,1,New Hampshire,23
2013,1,New Jersey,240
2013,1,New York,132
2013,1,North Carolina,119
2013,1,North Dakota,20
2013,1,Ohio,49
2013,1,Oklahoma,24
2013,1,Oregon,54
2013,1,Pennsylvania,77
2013,1,Rhode Island,5
2013,1,South Carolina,15
2013,1,South Dakota,25
2013,1,Tennessee,75
2013,1,Texas,512
2013,1,Utah,204
2013,1,Vermont,7
2013,1,Virginia,122
2013,1,Washington,44
2013,1,West Virginia,11
2013,1,Wisconsin,33
2013,1,Wyoming,5
2013,2,Alabama,16
2013,2,Alaska,9
2013,2,Arizona,103
2013,2,Arkansas,32
2013,2,California,195
2013,2,Colorado,479
2013,2,Connecticut,117
2013,2,Florida,126
2013,2,Georgia,309
2013,2,Hawaii,29
2013,2,Idaho,11
2013,2,Illinois,1336
2013,2,Indiana,45
2013,2,Iowa,55
2013,2,Kansas,87
2013,2,Kentucky,92
2013,2,Louisiana,30
2013,2,Maine,26
2013,2,Maryland,149
2013,2,Massachusetts,470
2013,2,Michigan,257
2013,2,Minnesota,182
2013,2,Mississippi,8
2013,2,Missouri,174
2013,2,Montana,3
2013,2,Nebraska,51
2013,2,Nevada,79
2013,2,New Hampshire,46
2013,2,New Jersey,510
2013,2,New York,468
2013,2,North Carolina,181
2013,2,North Dakota,45
2013,2,Ohio,105
2013,2,Oklahoma,56
2013,2,Oregon,20
2013,2,Pennsylvania,120
2013,2,Rhode Island,75
2013,2,South Carolina,40
2013,2,South Dakota,18
2013,2,Tennessee,92
2013,2,Texas,392
2013,2,Utah,83
2013,2,Vermont,24
2013,2,Virginia,218
2013,2,Washington,37
2013,2,West Virginia,15
2013,2,Wisconsin,72
2013,2,Wyoming,2
2013,3,Alabama,19
2013,3,Alaska,10
2013,3,Arizona,88
2013,3,Arkansas,18
2013,3,California,183
2013,3,Colorado,502
2013,3,Connecticut,35
2013,3,Florida,77
2013,3,Georgia,385
2013,3,Hawaii,32
2013,3,Idaho,9
2013,3,Illinois,790
2013,3,Indiana,67
2013,3,Iowa,32
2013,3,Kansas,17
2013,3,Kentucky,99
2013,3,Louisiana,24
2013,3,Maine,18
2013,3,Maryland,164
2013,3,Massachusetts,234
2013,3,Michigan,195
2013,3,Minnesota,212
2013,3,Mississippi,7
2013,3,Missouri,101
2013,3,Montana,6
2013,3,Nebraska,52
2013,3,Nevada,58
2013,3,New Hampshire,15
2013,3,New Jersey,373
2013,3,New York,226
2013,3,North Carolina,134
2013,3,North Dakota,30
2013,3,Ohio,70
2013,3,Oklahoma,28
2013,3,Oregon,14
2013,3,Pennsylvania,111
2013,3,Rhode Island,19
2013,3,South Carolina,38
2013,3,South Dakota,14
2013,3,Tennessee,71
2013,3,Texas,192
2013,3,Utah,46
2013,3,Vermont,15
2013,3,Virginia,285
2013,3,Washington,33
2013,3,West Virginia,15
2013,3,Wisconsin,54
2013,3,Wyoming,4
2013,4,Alabama,25
2013,4,Alaska,11
2013,4,Arizona,72
2013,4,Arkansas,40
2013,4,California,235
2013,4,Colorado,418
2013,4,Connecticut,26
2013,4,Florida,49
2013,4,Georgia,190
2013,4,Hawaii,54
2013,4,Idaho,9
2013,4,Illinois,1602
2013,4,Indiana,41
2013,4,Iowa,56
2013,4,Kansas,31
2013,4,Kentucky,112
2013,4,Louisiana,33
2013,4,Maine,10
2013,4,Maryland,60
2013,4,Massachusetts,89
2013,4,Michigan,261
2013,4,Minnesota,268
2013,4,Mississippi,22
2013,4,Missouri,60
2013,4,Montana,7
2013,4,Nebraska,49
2013,4,Nevada,54
2013,4,New Hampshire,10
2013,4,New Jersey,274
2013,4,New York,230
2013,4,North Carolina,113
2013,4,North Dakota,44
2013,4,Ohio,92
2013,4,Oklahoma,40
2013,4,Oregon,20
2013,4,Pennsylvania,86
2013,4,Rhode Island,8
2013,4,South Carolina,41
2013,4,South Dakota,48
2013,4,Tennessee,93
2013,4,Texas,595
2013,4,Utah,55
2013,4,Vermont,10
