YEAR,MONTH,STATE,TOTAL_DELAYED
2013,1,Alabama,239
2013,1,Alaska,163
2013,1,Arizona,1892
2013,1,Arkansas,249
2013,1,California,2427
2013,1,Colorado,3973
2013,1,Connecticut,358
2013,1,Florida,1199
2013,1,Georgia,4015
2013,1,Hawaii,603
2013,1,Idaho,171
2013,1,Illinois,6636
2013,1,Indiana,391
2013,1,Iowa,248
2013,1,Kansas,139
2013,1,Kentucky,505
2013,1,Louisiana,444
2013,1,Maine,134
2013,1,Maryland,1406
2013,1,Massachusetts,1633
2013,1,Michigan,2411
2013,1,Minnesota,1963
2013,1,Mississippi,138
2013,1,Missouri,749
2013,1,Montana,41
2013,1,Nebraska,260
2013,1,Nevada,1413
2013,1,New Hampshire,179
2013,1,New Jersey,2877
2013,1,New York,2080
2013,1,North Carolina,2029
2013,1,North Dakota,126
2013,1,Ohio,771
2013,1,Oklahoma,265
2013,1,Oregon,465
2013,1,Pennsylvania,1377
2013,1,Rhode Island,207
2013,1,South Carolina,148
2013,1,South Dakota,99
2013,1,Tennessee,818
2013,1,Texas,4711
2013,1,Utah,2149
2013,1,Vermont,120
2013,1,Virginia,1274
2013,1,Washington,1063
2013,1,West Virginia,57
2013,1,Wisconsin,480
2013,1,Wyoming,73
2013,2,Alabama,207
2013,2,Alaska,83
2013,2,Arizona,1448
2013,2,Arkansas,253
2013,2,California,1941
2013,2,Colorado,3817
2013,2,Connecticut,292
2013,2,Florida,1378
2013,2,Georgia,4050
2013,2,Hawaii,497
2013,2,Idaho,103
2013,2,Illinois,7349
2013,2,Indiana,374
2013,2,Iowa,248
2013,2,Kansas,129
2013,2,Kentucky,512
2013,2,Louisiana,509
2013,2,Maine,114
2013,2,Maryland,1301
2013,2,Massachusetts,1675
2013,2,Michigan,2626
2013,2,Minnesota,2021
2013,2,Mississippi,131
2013,2,Missouri,645
2013,2,Montana,27
2013,2,Nebraska,245
2013,2,Nevada,1183
2013,2,New Hampshire,140
2013,2,New Jersey,2248
2013,2,New York,2315
2013,2,North Carolina,2053
2013,2,North Dakota,137
2013,2,Ohio,836
2013,2,Oklahoma,281
2013,2,Oregon,345
2013,2,Pennsylvania,1355
2013,2,Rhode Island,193
2013,2,South Carolina,184
2013,2,South Dakota,133
2013,2,Tennessee,779
2013,2,Texas,4231
2013,2,Utah,1260
2013,2,Vermont,85
2013,2,Virginia,1193
2013,2,Washington,687
2013,2,West Virginia,48
2013,2,Wisconsin,647
2013,2,Wyoming,73
2013,3,Alabama,259
2013,3,Alaska,182
2013,3,Arizona,2588
2013,3,Arkansas,227
2013,3,California,3169
2013,3,Colorado,4624
2013,3,Connecticut,315
2013,3,Florida,2214
2013,3,Georgia,5800
2013,3,Hawaii,578
2013,3,Idaho,131
2013,3,Illinois,6604
2013,3,Indiana,517
2013,3,Iowa,291
2013,3,Kansas,159
2013,3,Kentucky,761
2013,3,Louisiana,569
2013,3,Maine,118
2013,3,Maryland,1862
2013,3,Massachusetts,2041
2013,3,Michigan,2485
2013,3,Minnesota,2380
2013,3,Mississippi,138
2013,3,Missouri,1003
2013,3,Montana,32
2013,3,Nebraska,303
2013,3,Nevada,1893
2013,3,New Hampshire,152
2013,3,New Jersey,2787
2013,3,New York,2509
2013,3,North Carolina,2224
2013,3,North Dakota,165
2013,3,Ohio,735
2013,3,Oklahoma,302
2013,3,Oregon,454
2013,3,Pennsylvania,1482
2013,3,Rhode Island,243
2013,3,South Carolina,268
2013,3,South Dakota,115
