YEAR,MONTH,STATE,TOTAL_FLIGHTS
2013,1,Alabama,1388,0
2013,1,Alaska,1228,0
2013,1,Arizona,14689,0
2013,1,Arkansas,1224,0
2013,1,California,17563,0
2013,1,Colorado,17850,0
2013,1,Connecticut,1753,0
2013,1,Florida,9495,0
2013,1,Georgia,32362,0
2013,1,Hawaii,4388,0
2013,1,Idaho,924,0
2013,1,Illinois,23849,0
2013,1,Indiana,2474,0
2013,1,Iowa,1176,0
2013,1,Kansas,846,0
2013,1,Kentucky,3106,0
2013,1,Louisiana,3392,0
2013,1,Maine,486,0
2013,1,Maryland,7819,0
2013,1,Massachussets,8165,0
2013,1,Michigan,12816,0
2013,1,Minnesota,11229,0
2013,1,Mississippi,814,0
2013,1,Missouri,4692,0
2013,1,Montana,266,0
2013,1,Nebraska,1688,0
2013,1,Nevada,10975,0
2013,1,New Hampshire,793,0
2013,1,New Mexico,0
2013,1,New Jersey,9893,0
2013,1,New York,11059,0
2013,1,North Carolina,11433,0
2013,1,North Dakota,533,0
2013,1,Ohio,3802,0
2013,1,Oklahoma,1877,0
2013,1,Oregon,3961,0
2013,1,Pennsylvania,6721,0
2013,1,Rhode Island,1144,0
2013,1,South Carolina,1074,0
2013,1,South Dakota,527,0
2013,1,Tennessee,4668,0
2013,1,Texas,23475,0
2013,1,Utah,9070,0
2013,1,Vermont,412,0
2013,1,Virginia,6245,0
2013,1,Washington,7245,0
2013,1,West Virginia,284,0
2013,1,Wisconsin,2859,0
2013,1,Wyoming,273,0
2013,2,Alabama,1270,0
2013,2,Alaska,1110,0
2013,2,Arizona,13419,0
2013,2,Arkansas,1132,0
2013,2,California,16010,0
2013,2,Colorado,16646,0
2013,2,Connecticut,1604,0
2013,2,Florida,9028,0
2013,2,Georgia,29453,0
2013,2,Hawaii,3939,0
2013,2,Idaho,837,0
2013,2,Illinois,22191,0
2013,2,Indiana,2276,0
2013,2,Iowa,1097,0
2013,2,Kansas,777,0
2013,2,Kentucky,2838,0
2013,2,Louisiana,3315,0
2013,2,Maine,447,0
2013,2,Maryland,7301,0
2013,2,Massachussets,7712,0
2013,2,Michigan,11592,0
2013,2,Minnesota,10242,0
2013,2,Mississippi,745,0
2013,2,Missouri,4285,0
2013,2,Montana,264,0
2013,2,Nebraska,1534,0
2013,2,Nevada,10031,0
2013,2,New Hampshire,781,0
2013,2,New Jersey,9107,0
2013,2,New Mexico,0
2013,2,New York,10217,0
2013,2,North Carolina,10581,0
2013,2,North Dakota,504,0
2013,2,Ohio,3653,0
2013,2,Oklahoma,1763,0
2013,2,Oregon,3566,0
2013,2,Pennsylvania,6266,0
2013,2,Rhode Island,1168,0
2013,2,South Carolina,979,0
2013,2,South Dakota,503,0
2013,2,Tennessee,4277,0
2013,2,Texas,21659,0
2013,2,Utah,8261,0
2013,2,Vermont,346,0
2013,2,Virginia,5835,0
2013,2,Washington,6654,0
2013,2,West Virginia,255,0
2013,2,Wisconsin,2622,0
2013,2,Wyoming,268,0
2013,3,Alabama,1466,0
2013,3,Alaska,1312,0
2013,3,Arizona,16075,0
2013,3,Arkansas,1299,0
2013,3,California,18544,0
2013,3,Colorado,19517,0
2013,3,Connecticut,1880,0
2013,3,Florida,11023,0
2013,3,Georgia,34691,0
2013,3,Hawaii,4586,0
2013,3,Idaho,991,0
2013,3,Illinois,25471,0
2013,3,Indiana,2864,0
2013,3,Iowa,1289,0
2013,3,Kansas,862,0
2013,3,Kentucky,3767,0
2013,3,Louisiana,3806,0
2013,3,Maine,525,0
2013,3,Maryland,8685,0
2013,3,Massachussets,9189,0
2013,3,Michigan,14008,0
2013,3,Minnesota,12617,0
2013,3,Mississippi,882,0
2013,3,Missouri,4920,0
2013,3,Montana,339,0
2013,3,Nebraska,1868,0
2013,3,Nevada,11841,0
2013,3,New Hampshire,873,0
2013,3,New Jersey,10420,0
2013,3,New York,11815,0
2013,3,New Mexico,0
2013,3,North Carolina,12036,0
2013,3,North Dakota,621,0
2013,3,Ohio,4028,0
2013,3,Oklahoma,2031,0
2013,3,Oregon,4287,0
2013,3,Pennsylvania,7218,0
2013,3,Rhode Island,1440,0
2013,3,South Carolina,1416,0
2013,3,South Dakota,602,0
2013,3,Tennessee,5090,0
2013,3,Texas,24510,0
2013,3,Utah,10095,0
2013,3,Vermont,438,0
2013,3,Virginia,6547,0
2013,3,Washington,8000,0
2013,3,West Virginia,321,0
2013,3,Wisconsin,3193,0
2013,3,Wyoming,245,0
2013,4,Alabama,1447,0
2013,4,Alaska,1262,0
2013,4,Arizona,14925,0
2013,4,Arkansas,1336,0
2013,4,California,18255,0
2013,4,Colorado,18465,0
2013,4,Connecticut,1971,0
2013,4,Florida,10228,0
2013,4,Georgia,33634,0
2013,4,Hawaii,4398,0
2013,4,Idaho,904,0
2013,4,Illinois,26063,0
2013,4,Indiana,2628,0
2013,4,Iowa,1231,0
2013,4,Kansas,875,0
2013,4,Kentucky,3855,0
2013,4,Louisiana,3808,0
2013,4,Maine,557,0
2013,4,Maryland,8656,0
2013,4,Massachussets,9317,0
2013,4,Michigan,13964,0
2013,4,Minnesota,12145,0
2013,4,Mississippi,823,0
2013,4,Missouri,4917,0
2013,4,Montana,280,0
2013,4,Nebraska,1898,0
2013,4,Nevada,11699,0
2013,4,New Hampshire,920,0
2013,4,New Jersey,10531,0
2013,4,New Mexico,0
2013,4,New York,11275,0
2013,4,North Carolina,12037,0
2013,4,North Dakota,540,0
2013,4,Ohio,3951,0
2013,4,Oklahoma,2017,0
2013,4,Oregon,4114,0
2013,4,Pennsylvania,6835,0
2013,4,Rhode Island,1373,0
2013,4,South Carolina,1515,0
2013,4,South Dakota,609,0
2013,4,Tennessee,5083,0
2013,4,Texas,24012,0
2013,4,Utah,9427,0
2013,4,Vermont,443,0
2013,4,Virginia,6312,0
2013,4,Washington,8007,0
