DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,561.0
Alaska        ,605.0
Arizona       ,3567.0
Arkansa       ,117.0
Arkansas      ,357.0
Califor       ,2756.0
California    ,11376.0
Colorad       ,932.0
Colorado      ,3777.0
Connect       ,94.0
Connecticu    ,189.0
Connecticut   ,197.0
Delaware      ,3.0
Florida       ,11606.0
Georgia       ,4987.0
Hawaii        ,2009.0
Idaho         ,560.0
Illinoi       ,1376.0
Illinois      ,4870.0
Indiana       ,1020.0
Iowa          ,480.0
Kansas        ,280.0
Kentuck       ,173.0
Kentucky      ,708.0
Louisia       ,297.0
Louisiana     ,1085.0
Maine         ,160.0
Marylan       ,369.0
Maryland      ,1482.0
Massach       ,410.0
Massachuse    ,872.0
Massachusetts ,857.0
Michiga       ,540.0
Michigan      ,2101.0
Minneso       ,459.0
Minnesota     ,1872.0
Mississ       ,57.0
Mississipp    ,89.0
Mississippi   ,104.0
Missour       ,453.0
Missouri      ,1807.0
Montana       ,599.0
Nebrask       ,119.0
Nebraska      ,458.0
Nevada        ,2865.0
New Ham       ,26.0
New Hampsh    ,47.0
New Hampshire ,67.0
New Jer       ,402.0
New Jersey    ,1575.0
New Mex       ,99.0
New Mexico    ,445.0
New Yor       ,968.0
New York      ,3956.0
North C       ,665.0
North Caro    ,1314.0
North Carolina,1516.0
North D       ,99.0
North Dako    ,154.0
North Dakota  ,184.0
Ohio          ,1705.0
Oklahom       ,164.0
Oklahoma      ,636.0
Oregon        ,1258.0
Pennsyl       ,452.0
Pennsylvan    ,902.0
Pennsylvania  ,972.0
Puerto        ,172.0
Puerto Ric    ,300.0
Puerto Rico   ,339.0
Rhode I       ,63.0
Rhode Isla    ,125.0
Rhode Island  ,136.0
South C       ,133.0
South Caro    ,227.0
South Carolina,296.0
South D       ,50.0
South Dako    ,110.0
South Dakota  ,129.0
Tenness       ,327.0
Tennessee     ,1412.0
Texas         ,10023.0
U.S. Pa       ,3.0
U.S. Pacif    ,6.0
U.S. Pacific T,7.0
U.S. Vi       ,26.0
U.S. Virgi    ,32.0
U.S. Virgin Is,53.0
Utah          ,1945.0
Vermont       ,121.0
Virgini       ,603.0
Virginia      ,2510.0
Washing       ,564.0
Washington    ,2141.0
West Vi       ,12.0
West Virgi    ,28.0
West Virginia ,26.0
Wiscons       ,281.0
Wisconsin     ,1057.0
Wyoming       ,325.0
