DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,468.0
Alaska        ,408.0
Arizona       ,2416.0
Arkansa       ,85.0
Arkansas      ,302.0
Califor       ,1976.0
California    ,8167.0
Colorad       ,598.0
Colorado      ,2366.0
Connect       ,76.0
Connecticu    ,156.0
Connecticut   ,163.0
Delaware      ,2.0
Florida       ,7627.0
Georgia       ,3847.0
Hawaii        ,1296.0
Idaho         ,371.0
Illinoi       ,1066.0
Illinois      ,3793.0
Indiana       ,825.0
Iowa          ,374.0
Kansas        ,219.0
Kentuck       ,144.0
Kentucky      ,613.0
Louisia       ,219.0
Louisiana     ,862.0
Maine         ,117.0
Marylan       ,285.0
Maryland      ,1131.0
Massach       ,353.0
Massachuse    ,711.0
Massachusetts ,714.0
Michiga       ,444.0
Michigan      ,1740.0
Minneso       ,350.0
Minnesota     ,1456.0
Mississ       ,44.0
Mississipp    ,72.0
Mississippi   ,83.0
Missour       ,359.0
Missouri      ,1414.0
Montana       ,320.0
Nebrask       ,86.0
Nebraska      ,361.0
Nevada        ,2107.0
New Ham       ,24.0
New Hampsh    ,45.0
New Hampshire ,55.0
New Jer       ,308.0
New Jersey    ,1257.0
New Mex       ,75.0
New Mexico    ,316.0
New Yor       ,753.0
New York      ,3101.0
North C       ,527.0
North Caro    ,1033.0
North Carolina,1181.0
North D       ,80.0
North Dako    ,122.0
North Dakota  ,133.0
Ohio          ,1398.0
Oklahom       ,125.0
Oklahoma      ,485.0
Oregon        ,879.0
Pennsyl       ,370.0
Pennsylvan    ,736.0
Pennsylvania  ,793.0
Puerto        ,99.0
Puerto Ric    ,155.0
Puerto Rico   ,189.0
Rhode I       ,49.0
Rhode Isla    ,99.0
Rhode Island  ,105.0
South C       ,116.0
South Caro    ,210.0
South Carolina,253.0
South D       ,43.0
South Dako    ,79.0
South Dakota  ,89.0
Tenness       ,283.0
Tennessee     ,1149.0
Texas         ,7369.0
Utah          ,1336.0
Vermont       ,71.0
Virgini       ,480.0
Virginia      ,2043.0
Washing       ,386.0
Washington    ,1481.0
West Vi       ,10.0
West Virgi    ,18.0
West Virginia ,24.0
Wiscons       ,231.0
Wisconsin     ,893.0
Wyoming       ,146.0
