DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,2.0
Alaska        ,2.0
Arizona       ,11.0
Arkansa       ,0.0
Arkansas      ,1.0
Califor       ,10.0
California    ,66.0
Colorad       ,1.0
Colorado      ,9.0
Connect       ,0.0
Connecticu    ,1.0
Connecticut   ,0.0
Florida       ,36.0
Georgia       ,14.0
Hawaii        ,3.0
Idaho         ,0.0
Illinoi       ,11.0
Illinois      ,30.0
Indiana       ,6.0
Iowa          ,2.0
Kansas        ,0.0
Kentuck       ,1.0
Kentucky      ,5.0
Louisia       ,0.0
Louisiana     ,4.0
Maine         ,3.0
Marylan       ,0.0
Maryland      ,9.0
Massach       ,1.0
Massachuse    ,15.0
Massachusetts ,4.0
Michiga       ,2.0
Michigan      ,9.0
Minneso       ,1.0
Minnesota     ,8.0
Mississippi   ,0.0
Missour       ,1.0
Missouri      ,9.0
Montana       ,1.0
Nebrask       ,1.0
Nebraska      ,1.0
Nevada        ,9.0
New Hampsh    ,0.0
New Hampshire ,0.0
New Jer       ,2.0
New Jersey    ,35.0
New Mex       ,0.0
New Mexico    ,2.0
New Yor       ,4.0
New York      ,76.0
North C       ,1.0
North Caro    ,15.0
North Carolina,13.0
North D       ,0.0
North Dako    ,0.0
North Dakota  ,0.0
Ohio          ,10.0
Oklahom       ,0.0
Oklahoma      ,3.0
Oregon        ,1.0
Pennsyl       ,2.0
Pennsylvan    ,13.0
Pennsylvania  ,6.0
Puerto Ric    ,2.0
Puerto Rico   ,1.0
Rhode I       ,0.0
Rhode Isla    ,1.0
Rhode Island  ,0.0
South C       ,0.0
South Caro    ,3.0
South Carolina,0.0
South D       ,0.0
South Dako    ,0.0
South Dakota  ,0.0
Tenness       ,0.0
Tennessee     ,7.0
Texas         ,44.0
Utah          ,2.0
Vermont       ,1.0
Virgini       ,2.0
Virginia      ,32.0
Washing       ,0.0
Washington    ,3.0
West Vi       ,0.0
West Virginia ,0.0
Wiscons       ,3.0
Wisconsin     ,5.0
