DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,2.0
Alaska        ,4.0
Arizona       ,14.0
Arkansa       ,0.0
Arkansas      ,5.0
Califor       ,4.0
California    ,34.0
Colorad       ,1.0
Colorado      ,10.0
Connect       ,0.0
Connecticu    ,2.0
Connecticut   ,1.0
Florida       ,18.0
Georgia       ,8.0
Hawaii        ,1.0
Idaho         ,1.0
Illinoi       ,16.0
Illinois      ,23.0
Indiana       ,5.0
Iowa          ,5.0
Kansas        ,2.0
Kentuck       ,1.0
Kentucky      ,5.0
Louisia       ,0.0
Louisiana     ,7.0
Maine         ,1.0
Maryland      ,4.0
Massach       ,0.0
Massachuse    ,1.0
Massachusetts ,2.0
Michiga       ,1.0
Michigan      ,10.0
Minneso       ,1.0
Minnesota     ,6.0
Mississipp    ,0.0
Mississippi   ,2.0
Missour       ,1.0
Missouri      ,9.0
Montana       ,1.0
Nebrask       ,0.0
Nebraska      ,1.0
Nevada        ,7.0
New Hampsh    ,1.0
New Hampshire ,0.0
New Jer       ,1.0
New Jersey    ,15.0
New Mex       ,0.0
New Mexico    ,4.0
New Yor       ,2.0
New York      ,21.0
North C       ,1.0
North Caro    ,2.0
North Carolina,12.0
North D       ,0.0
North Dako    ,1.0
North Dakota  ,1.0
Ohio          ,7.0
Oklahom       ,3.0
Oklahoma      ,5.0
Oregon        ,2.0
Pennsyl       ,1.0
Pennsylvan    ,2.0
Pennsylvania  ,4.0
Rhode Isla    ,0.0
Rhode Island  ,0.0
South Caro    ,0.0
South Carolina,3.0
South D       ,0.0
South Dako    ,0.0
South Dakota  ,1.0
Tenness       ,1.0
Tennessee     ,6.0
Texas         ,90.0
Utah          ,3.0
Vermont       ,0.0
Virgini       ,0.0
Virginia      ,10.0
Washing       ,1.0
Washington    ,2.0
West Vi       ,0.0
Wiscons       ,1.0
Wisconsin     ,12.0
Wyoming       ,2.0
