DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,77.0
Alaska        ,64.0
Arizona       ,276.0
Arkansa       ,17.0
Arkansas      ,48.0
Califor       ,272.0
California    ,1031.0
Colorad       ,98.0
Colorado      ,305.0
Connect       ,11.0
Connecticu    ,24.0
Connecticut   ,25.0
Delaware      ,0.0
Florida       ,1181.0
Georgia       ,596.0
Hawaii        ,87.0
Idaho         ,36.0
Illinoi       ,164.0
Illinois      ,537.0
Indiana       ,114.0
Iowa          ,50.0
Kansas        ,29.0
Kentuck       ,22.0
Kentucky      ,89.0
Louisia       ,36.0
Louisiana     ,138.0
Maine         ,26.0
Marylan       ,43.0
Maryland      ,158.0
Massach       ,50.0
Massachuse    ,113.0
Massachusetts ,130.0
Michiga       ,51.0
Michigan      ,196.0
Minneso       ,47.0
Minnesota     ,156.0
Mississ       ,5.0
Mississipp    ,7.0
Mississippi   ,16.0
Missour       ,54.0
Missouri      ,196.0
Montana       ,45.0
Nebrask       ,12.0
Nebraska      ,50.0
Nevada        ,274.0
New Ham       ,3.0
New Hampsh    ,7.0
New Hampshire ,10.0
New Jer       ,41.0
New Jersey    ,220.0
New Mex       ,13.0
New Mexico    ,52.0
New Yor       ,107.0
New York      ,523.0
North C       ,66.0
North Caro    ,128.0
North Carolina,200.0
North D       ,10.0
North Dako    ,11.0
North Dakota  ,17.0
Ohio          ,200.0
Oklahom       ,18.0
Oklahoma      ,73.0
Oregon        ,101.0
Pennsyl       ,50.0
Pennsylvan    ,110.0
Pennsylvania  ,140.0
Puerto        ,15.0
Puerto Ric    ,43.0
Puerto Rico   ,41.0
Rhode I       ,7.0
Rhode Isla    ,14.0
Rhode Island  ,16.0
South C       ,18.0
South Caro    ,22.0
South Carolina,53.0
South D       ,8.0
South Dako    ,12.0
South Dakota  ,12.0
Tenness       ,44.0
Tennessee     ,177.0
Texas         ,1088.0
U.S. Pa       ,0.0
U.S. Pacif    ,0.0
U.S. Pacific T,0.0
U.S. Vi       ,1.0
U.S. Virgi    ,2.0
U.S. Virgin Is,3.0
Utah          ,149.0
Vermont       ,14.0
Virgini       ,73.0
Virginia      ,306.0
Washing       ,51.0
Washington    ,188.0
West Vi       ,1.0
West Virgi    ,2.0
West Virginia ,4.0
Wiscons       ,31.0
Wisconsin     ,121.0
Wyoming       ,27.0
