DEST_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,167.0
Alaska        ,118.0
Arizona       ,982.0
Arkansa       ,39.0
Arkansas      ,125.0
Califor       ,984.0
California    ,3162.0
Colorad       ,283.0
Colorado      ,1218.0
Connect       ,25.0
Connecticu    ,39.0
Connecticut   ,41.0
Delaware      ,1.0
Florida       ,3307.0
Georgia       ,1096.0
Hawaii        ,337.0
Idaho         ,177.0
Illinoi       ,351.0
Illinois      ,1282.0
Indiana       ,287.0
Iowa          ,161.0
Kansas        ,89.0
Kentuck       ,50.0
Kentucky      ,179.0
Louisia       ,91.0
Louisiana     ,308.0
Maine         ,46.0
Marylan       ,100.0
Maryland      ,321.0
Massach       ,107.0
Massachuse    ,187.0
Massachusetts ,172.0
Michiga       ,129.0
Michigan      ,445.0
Minneso       ,113.0
Minnesota     ,411.0
Mississ       ,19.0
Mississipp    ,28.0
Mississippi   ,23.0
Missour       ,135.0
Missouri      ,513.0
Montana       ,190.0
Nebrask       ,39.0
Nebraska      ,138.0
Nevada        ,837.0
New Ham       ,8.0
New Hampsh    ,9.0
New Hampshire ,19.0
New Jer       ,124.0
New Jersey    ,420.0
New Mex       ,30.0
New Mexico    ,147.0
New Yor       ,284.0
New York      ,898.0
North C       ,208.0
North Caro    ,256.0
North Carolina,310.0
North D       ,20.0
North Dako    ,58.0
North Dakota  ,61.0
Ohio          ,435.0
Oklahom       ,57.0
Oklahoma      ,217.0
Oregon        ,385.0
Pennsyl       ,141.0
Pennsylvan    ,186.0
Pennsylvania  ,202.0
Puerto        ,64.0
Puerto Ric    ,72.0
Puerto Rico   ,96.0
Rhode I       ,18.0
Rhode Isla    ,27.0
Rhode Island  ,31.0
South C       ,40.0
South Caro    ,57.0
South Carolina,72.0
South D       ,13.0
South Dako    ,40.0
South Dakota  ,45.0
Tenness       ,103.0
Tennessee     ,400.0
Texas         ,2897.0
U.S. Pa       ,0.0
U.S. Pacif    ,1.0
U.S. Pacific T,2.0
U.S. Vi       ,9.0
U.S. Virgi    ,5.0
U.S. Virgin Is,11.0
Utah          ,550.0
Vermont       ,34.0
Virgini       ,169.0
Virginia      ,492.0
Washing       ,137.0
Washington    ,599.0
West Vi       ,2.0
West Virgi    ,8.0
West Virginia ,9.0
Wiscons       ,73.0
Wisconsin     ,290.0
Wyoming       ,109.0
