ORIGIN_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,201.0
Alaska        ,391.0
Arizona       ,2579.0
Arkansas      ,183.0
Californ      ,709.0
California    ,2934.0
Colorado      ,3667.0
Connecti      ,68.0
Connecticu    ,141.0
Connecticut   ,129.0
Delaware      ,5.0
Florida       ,2007.0
Georgia       ,5964.0
Hawaii        ,853.0
Idaho         ,210.0
Illinois      ,4632.0
Indiana       ,460.0
Iowa          ,154.0
Kansas        ,142.0
Kentucky      ,346.0
Louisian      ,134.0
Louisiana     ,542.0
Maine         ,117.0
Maryland      ,1616.0
Massachu      ,391.0
Massachuse    ,760.0
Massachusetts ,768.0
Michigan      ,1925.0
Minnesot      ,427.0
Minnesota     ,1663.0
Mississi      ,25.0
Mississipp    ,37.0
Mississippi   ,45.0
Missouri      ,883.0
Montana       ,102.0
Nebraska      ,312.0
Nevada        ,2325.0
New Hamp      ,21.0
New Hampsh    ,42.0
New Hampshire ,54.0
New Jers      ,360.0
New Jersey    ,1436.0
New York      ,2034.0
North Ca      ,359.0
North Caro    ,705.0
North Carolina,849.0
North Da      ,21.0
North Dako    ,23.0
North Dakota  ,33.0
Ohio          ,581.0
Oklahoma      ,297.0
Oregon        ,993.0
Pennsylv      ,241.0
Pennsylvan    ,470.0
Pennsylvania  ,505.0
Rhode Is      ,36.0
Rhode Isla    ,82.0
Rhode Island  ,90.0
South Ca      ,42.0
South Caro    ,93.0
South Carolina,105.0
South Da      ,17.0
South Dako    ,37.0
South Dakota  ,33.0
Tennesse      ,174.0
Tennessee     ,701.0
Texas         ,3914.0
Utah          ,1751.0
Vermont       ,69.0
Virginia      ,1144.0
Washingt      ,449.0
Washington    ,1775.0
West Vir      ,8.0
West Virgi    ,15.0
West Virginia ,18.0
Wisconsi      ,105.0
Wisconsin     ,426.0
Wyoming       ,90.0
