ORIGIN_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,415.0
Alaska        ,515.0
Arizona       ,5532.0
Arkansas      ,313.0
Californ      ,1347.0
California    ,5710.0
Colorado      ,7329.0
Connecti      ,132.0
Connecticu    ,287.0
Connecticut   ,288.0
Delaware      ,6.0
Florida       ,4279.0
Georgia       ,11326.0
Hawaii        ,1680.0
Idaho         ,463.0
Illinois      ,8260.0
Indiana       ,878.0
Iowa          ,291.0
Kansas        ,262.0
Kentucky      ,607.0
Louisian      ,266.0
Louisiana     ,1066.0
Maine         ,157.0
Maryland      ,3097.0
Massachu      ,650.0
Massachuse    ,1362.0
Massachusetts ,1337.0
Michigan      ,3385.0
Minnesot      ,707.0
Minnesota     ,3013.0
Mississi      ,46.0
Mississipp    ,68.0
Mississippi   ,87.0
Missouri      ,1695.0
Montana       ,196.0
Nebraska      ,608.0
Nevada        ,4392.0
New Hamp      ,35.0
New Hampsh    ,67.0
New Hampshire ,88.0
New Jers      ,715.0
New Jersey    ,2873.0
New York      ,3954.0
North Ca      ,715.0
North Caro    ,1430.0
North Carolina,1692.0
North Da      ,42.0
North Dako    ,58.0
North Dakota  ,69.0
Ohio          ,1101.0
Oklahoma      ,568.0
Oregon        ,1854.0
Pennsylv      ,450.0
Pennsylvan    ,902.0
Pennsylvania  ,943.0
Rhode Is      ,80.0
Rhode Isla    ,173.0
Rhode Island  ,178.0
South Ca      ,79.0
South Caro    ,151.0
South Carolina,177.0
South Da      ,23.0
South Dako    ,59.0
South Dakota  ,70.0
Tennesse      ,311.0
Tennessee     ,1381.0
Texas         ,7587.0
Utah          ,3526.0
Vermont       ,131.0
Virginia      ,2120.0
Washingt      ,836.0
Washington    ,3152.0
West Vir      ,14.0
West Virgi    ,29.0
West Virginia ,33.0
Wisconsi      ,190.0
Wisconsin     ,747.0
Wyoming       ,197.0
