ORIGIN_STATE_NM,TOTAL_FLIGHTS_1
Alabama       ,324.0
Alaska        ,336.0
Arizona       ,3722.0
Arkansas      ,258.0
Californ      ,955.0
California    ,4008.0
Colorado      ,5121.0
Connecti      ,103.0
Connecticu    ,218.0
Connecticut   ,224.0
Delaware      ,4.0
Florida       ,2918.0
Georgia       ,8669.0
Hawaii        ,1146.0
Idaho         ,330.0
Illinois      ,6420.0
Indiana       ,676.0
Iowa          ,233.0
Kansas        ,213.0
Kentucky      ,516.0
Louisian      ,203.0
Louisiana     ,861.0
Maine         ,108.0
Maryland      ,2341.0
Massachu      ,541.0
Massachuse    ,1094.0
Massachusetts ,1081.0
Michigan      ,2931.0
Minnesot      ,552.0
Minnesota     ,2288.0
Mississi      ,37.0
Mississipp    ,55.0
Mississippi   ,66.0
Missouri      ,1283.0
Montana       ,67.0
Nebraska      ,457.0
Nevada        ,3283.0
New Hamp      ,31.0
New Hampsh    ,58.0
New Hampshire ,70.0
New Jers      ,535.0
New Jersey    ,2184.0
New York      ,2781.0
North Ca      ,537.0
North Caro    ,1059.0
North Carolina,1247.0
North Da      ,28.0
North Dako    ,39.0
North Dakota  ,44.0
Ohio          ,874.0
Oklahoma      ,430.0
Oregon        ,1328.0
Pennsylv      ,338.0
Pennsylvan    ,653.0
Pennsylvania  ,697.0
Rhode Is      ,63.0
Rhode Isla    ,131.0
Rhode Island  ,135.0
South Ca      ,72.0
South Caro    ,133.0
South Carolina,149.0
South Da      ,25.0
South Dako    ,47.0
South Dakota  ,54.0
Tennesse      ,248.0
Tennessee     ,1053.0
Texas         ,5344.0
Utah          ,2423.0
Vermont       ,76.0
Virginia      ,1718.0
Washingt      ,568.0
Washington    ,2205.0
West Vir      ,11.0
West Virgi    ,19.0
West Virginia ,29.0
Wisconsi      ,150.0
Wisconsin     ,588.0
Wyoming       ,30.0
