x_year,y_state,value
2013,Alabama,43463
2013,Alaska,33221
2013,Arizona,274472
2013,Arkansas,38987
2013,California,595982
2013,Colorado,350014
2013,Connecticut,39215
2013,Delaware,395
2013,Florida,412112
2013,Georgia,554291
2013,Hawaii,75698
2013,Idaho,25404
2013,Illinois,532752
2013,Indiana,67936
2013,Iowa,39103
2013,Kansas,22693
2013,Kentucky,93336
2013,Louisiana,90289
2013,Maine,13126
2013,Maryland,160898
2013,Massachusetts,186592
2013,Michigan,264228
2013,Minnesota,228768
2013,Mississippi,19969
2013,Missouri,138651
2013,Montana,20882
2013,Nebraska,44207
2013,Nevada,224789
2013,New Hampshire,17836
2013,New Jersey,192908
2013,New Mexico,22401
2013,New York,308740
2013,North Carolina,280895
2013,North Dakota,25880
2013,Ohio,114500
2013,Oklahoma,54613
2013,Oregon,87760
2013,Pennsylvania,173401
2013,Rhode Island,27171
2013,South Carolina,45222
2013,South Dakota,18973
2013,Tennessee,137348
2013,Texas,576134
2013,Utah,168977
2013,Vermont,9450
2013,Virginia,199559
2013,Washington,174033
2013,West Virginia,6091
2013,Wisconsin,93198
2013,Wyoming,12620
2014,Alabama,35889
2014,Alaska,31667
2014,Arizona,257198
2014,Arkansas,34763
2014,California,594680
2014,Colorado,345666
2014,Connecticut,37482
2014,Delaware,1069
2014,Florida,395287
2014,Georgia,518627
2014,Hawaii,70176
2014,Idaho,24724
2014,Illinois,486470
2014,Indiana,61761
2014,Iowa,27361
2014,Kansas,18827
2014,Kentucky,51888
2014,Louisiana,84526
2014,Maine,9922
2014,Maryland,143255
2014,Massachusetts,185943
2014,Michigan,189255
2014,Minnesota,174202
2014,Mississippi,17799
2014,Missouri,123071
2014,Montana,20886
2014,Nebraska,38770
2014,Nevada,221609
2014,New Hampshire,11607
2014,New Jersey,176096
2014,New Mexico,19512
2014,New York,263573
2014,North Carolina,221233
2014,North Dakota,19801
2014,Ohio,96141
2014,Oklahoma,49369
2014,Oregon,88000
2014,Pennsylvania,149794
2014,Rhode Island,21289
2014,South Carolina,34606
2014,South Dakota,17874
2014,Tennessee,114571
2014,Texas,555269
2014,Utah,162824
2014,Vermont,7146
2014,Virginia,182098
2014,Washington,180528
2014,West Virginia,5458
2014,Wisconsin,82381
2014,Wyoming,13334
2015,Alabama,26265
2015,Alaska,9988
2015,Arizona,90010
2015,Arkansas,31047
2015,California,638429
2015,Colorado,342226
