year,state,value
2013,Alabama,26726
2013,Alaska,22066
2013,Arizona,109280
2013,Arkansas,25045
2013,California,438832
2013,Colorado,134786
2013,Connecticut,17332
2013,Delaware,1660
2013,Florida,306105
2013,Georgia,169744
2013,Hawaii,57492
2013,Idaho,15211
2013,Illinois,234433
2013,Indiana,39161
2013,Iowa,23712
2013,Kansas,11382
2013,Kentucky,53006
2013,Louisiana,46948
2013,Maine,6641
2013,Maryland,63287
2013,Massachusetts,76641
2013,Michigan,113116
2013,Minnesota,88990
2013,Mississippi,10735
2013,Missouri,84225
2013,Montana,16905
2013,Nebraska,22193
2013,Nevada,91552
2013,New Hampshire,8103
2013,New Jersey,73917
2013,New Mexico,22401
2013,New York,190320
2013,North Carolina,140413
2013,North Dakota,19113
2013,Ohio,69065
2013,Oklahoma,31529
2013,Oregon,37249
2013,Pennsylvania,94978
2013,Rhode Island,11781
2013,South Carolina,30020
2013,South Dakota,12121
2013,Tennessee,79829
2013,Texas,347541
2013,Utah,60095
2013,Vermont,4576
2013,Virginia,131727
2013,Washington,73275
2013,West Virginia,2891
2013,Wisconsin,58210
2013,Wyoming,9589
2014,Alabama,22018
2014,Alaska,20546
2014,Arizona,104816
2014,Arkansas,21749
2014,California,435090
2014,Colorado,131443
2014,Connecticut,16138
2014,Delaware,474
2014,Florida,293337
2014,Georgia,162539
2014,Hawaii,52078
2014,Idaho,14289
2014,Illinois,208586
2014,Indiana,33913
2014,Iowa,17446
2014,Kansas,9626
2014,Kentucky,32454
2014,Louisiana,44036
2014,Maine,5152
2014,Maryland,55961
2014,Massachusetts,76689
2014,Michigan,87438
2014,Minnesota,71668
2014,Mississippi,9708
2014,Missouri,75211
2014,Montana,16912
2014,Nebraska,19199
2014,Nevada,89776
2014,New Hampshire,5057
2014,New Jersey,67688
2014,New Mexico,19512
2014,New York,164268
2014,North Carolina,113601
2014,North Dakota,14594
2014,Ohio,58880
2014,Oklahoma,28845
2014,Oregon,36485
2014,Pennsylvania,79297
2014,Rhode Island,9137
2014,South Carolina,21536
2014,South Dakota,11419
2014,Tennessee,58911
2014,Texas,333818
2014,Utah,59157
2014,Vermont,3400
2014,Virginia,112522
2014,Washington,74947
2014,West Virginia,2568
2014,Wisconsin,50498
2014,Wyoming,9781
2015,Alabama,34294
2015,Alaska,38714
2015,Arizona,264197
2015,Arkansas,31047
2015,California,638429
2015,Colorado,342226
2015,Connecticut,35939
2015,Delaware,164
2015,Florida,434496
2015,Georgia,548881
2015,Hawaii,100248
2015,Idaho,27522
2015,Illinois,538617
2015,Indiana,65575
2015,Iowa,26746
2015,Kansas,18279
2015,Kentucky,54773
2015,Louisiana,88919
2015,Maine,10589
2015,Maryland,151243
2015,Massachusetts,196694
2015,Michigan,214079
2015,Minnesota,202104
2015,Mississippi,17557
2015,Missouri,125708
2015,Montana,19813
2015,Nebraska,36644
2015,Nevada,241338
2015,New Hampshire,12142
2015,New Jersey,180063
2015,New Mexico,17065
2015,New York,290589
2015,North Carolina,219373
2015,North Dakota,23098
2015,Ohio,100052
2015,Oklahoma,43714
2015,Oregon,86650
2015,Pennsylvania,152157
2015,Rhode Island,21598
2015,South Carolina,37427
2015,South Dakota,15771
2015,Tennessee,110975
2015,Texas,590629
2015,Utah,165408
